MPAArating,distributor,domestic,genre,name,production_budget,release_year,series,worldwide
R,Universal,23591043,Concert,Kevin Hart: What Now?,$9.9 million,2016,No,ank
R,Focus Features,21198205,Drama,Phantom Thread,N/A,2017,No,47756590
R,Paramount,21704844,Horror,Overlord,$38 million,2018,No,41657844
PG-13,ArtAffects,1323580,Drama,The Other Side of Heaven 2: Fire of Faith,N/A,2019,No,ank
PG,Warner Bros.,4484991,Unknown,Honky Tonk Man,N/A,1982,No,ank
PG,Columbia,5310748,Unknown,The Dresser,N/A,1983,No,ank
PG-13,Columbia,6551987,Unknown,The Razor's Edge,N/A,1984,No,ank
R,Cannon Films,7683620,Action Thriller,Runaway Train,N/A,1985,No,ank
R,TriStar,5844868,Unknown,The Hitcher,N/A,1986,No,5844868
G,Samuel Goldwyn,6804312,Animation,The Chipmunk Adventure,N/A,1987,Series: Alvin and the Chipmunks,ank
R,Fox,8038508,Unknown,Dead Ringers,N/A,1988,No,ank
PG,Columbia,44824144,Unknown,Lawrence of Arabia (re-issue) (1989),N/A,1989,No,ank
R,Paramount,10005969,Crime Thriller,The Two Jakes,N/A,1990,No,ank
R,Columbia,9151887,Action,Stone Cold,N/A,1991,No,ank
PG,MGM,8669847,Comedy,Once Upon a Crime,N/A,1992,No,ank
PG-13,Paramount,8442162,Animation,Bebe's Kids,N/A,1992,No,ank
R,Warner Bros.,9011574,Crime Thriller,White Sands,N/A,1992,No,ank
R,Columbia,9223441,Sports Drama,Gladiator (1992),N/A,1992,No,ank
PG-13,TriStar,9493259,Period Drama,Chaplin,N/A,1992,No,
R,TriStar,10555619,Romantic Comedy,Husbands and Wives,N/A,1992,No,ank
R,New Line,10725228,Drama,Glengarry Glen Ross,N/A,1992,No,ank
PG,Warner Bros.,10736401,Fantasy Comedy,Stay Tuned,N/A,1992,No,ank
R,Paramount,11124511,Thriller,Whispers in the Dark,N/A,1992,No,ank
R,Paramount,11390479,Thriller,Jennifer 8,N/A,1992,No,ank
G,Samuel Goldwyn,11657385,Animation,Rock-A-Doodle,N/A,1992,No,ank
PG-13,Buena Vista,12282994,Thriller,A Stranger Among Us,N/A,1992,No,ank
R,Miramax,12534961,Horror,Hellraiser III: Hell on Earth,N/A,1992,Series: Hellraiser,ank
R,Universal,13086430,Crime Drama,American Me,N/A,1992,No,ank
PG,Miramax,13200170,Period Comedy,Enchanted April,N/A,1992,No,ank
R,Universal,13249535,Action / Crime,Trespass,N/A,1992,No,ank
PG-13,Warner Bros.,13272113,Comedy,Class Act,N/A,1992,No,ank
G,Buena Vista,38625550,Animation,The Great Mouse Detective (re-issue),N/A,1992,No,ank
R,Columbia,13351357,Comedy / Drama,Mr. Saturday Night,N/A,1992,No,ank
PG-13,Paramount,14110589,Fantasy Comedy,Cool World,N/A,1992,No,ank
R,Fox,14356479,Action,Rapid Fire,N/A,1992,No,ank
PG-13,Warner Bros.,14358033,Sci-Fi Comedy,Memoirs of an Invisible Man,N/A,1992,No,ank
PG-13,TriStar,14683921,Drama,City of Joy,N/A,1992,No,ank
PG-13,Paramount,14715067,Drama,School Ties,N/A,1992,No,
PG-13,Paramount,14796494,Sports Comedy,Ladybugs,N/A,1992,No,ank
PG,Warner Bros.,15164458,Music Drama,Pure Country,N/A,1992,No,ank
PG-13,Fox,16624456,Horror Comedy,Buffy the Vampire Slayer,N/A,1992,No,ank
R,New Line,16639799,Crime Drama,Deep Cover,N/A,1992,No,ank
R,Paramount,17092453,Horror,Pet Sematary II,N/A,1992,No,ank
R,Warner Bros.,17129026,Sci-Fi Thriller,Freejack,N/A,1992,No,ank
PG,Universal,17530973,Sports Drama,The Babe,N/A,1992,No,19930973
PG-13,Fox,17957265,Comedy / Drama,Used People,N/A,1992,No,
PG-13,Warner Bros.,18471850,Romantic Comedy,Singles,N/A,1992,No,ank
G,Buena Vista,84254167,Animation,Pinocchio (Re-issue) (1992),N/A,1992,No,121892045
PG-13,Columbia,19507345,Comedy,Hero,N/A,1992,No,ank
PG-13,Fox,20006730,Fantasy Comedy,Prelude to a Kiss,N/A,1992,No,22697691
R,Paramount,20146880,Crime Drama,Juice,N/A,1992,No,ank
PG-13,Universal,20883046,Sports Comedy,Mr. Baseball,N/A,1992,No,ank
PG-13,Universal,21142815,Action Comedy,Kuffs,N/A,1992,No,ank
PG,Buena Vista,21202099,Romantic Comedy,Straight Talk,N/A,1992,No,ank
R,Universal,21370057,Thriller,Raising Cain,N/A,1992,No,37170057
R,Buena Vista,21591728,Thriller,Consenting Adults,N/A,1992,No,ank
R,Fox,21633781,Romantic Thriller,Shining Through,N/A,1992,No,43838238
R,New Line,21706101,Comedy,The Player,N/A,1992,No,ank
PG-13,Buena Vista,22518097,Comedy,Captain Ron,N/A,1992,No,ank
R,TriStar,22660758,Action / Crime,Thunderheart,N/A,1992,No,ank
PG-13,Fox,23278931,Fantasy Comedy,Toys,N/A,1992,No,ank
PG-13,Paramount,23369283,Comedy,Leap of Faith,N/A,1992,No,ank
R,Fox,24276506,Period Drama,Hoffa,N/A,1992,No,29302121
G,Fox,24650296,Animation,Ferngully: The Last Rainforest,N/A,1992,No,32710894
PG,MGM,25105517,Sports Comedy,The Cutting Edge,N/A,1992,No,ank
R,TriStar,25792310,Horror,Candyman,N/A,1992,No,ank
PG,Sony Classics,26126837,Period Drama,Howards End,N/A,1992,No,ank
G,Buena Vista,27281507,Family Comedy,The Muppet Christmas Carol,$12 million,1992,Series: The Muppets,27281507
PG-13,Universal,28411210,Action Comedy,Stop! Or My Mom Will Shoot!,N/A,1992,No,70611210
R,Warner Bros.,28590665,Romantic Thriller,Final Analysis,N/A,1992,No,ank
PG,Buena Vista,29000301,Family Adventure,3 Ninjas,N/A,1992,Series: 3 Ninjas,ank
R,Columbia,30524763,Horror,Sleepwalkers,N/A,1992,No,ank
R,New Line,32100816,Sci-Fi Horror,The Lawnmower Man,$10 million,1992,No,ank
PG-13,Columbia,35208854,Romantic Comedy,Honeymoon in Vegas,$25 million,1992,No,ank
R,TriStar,36299898,Sci-Fi Action,Universal Soldier,N/A,1992,Series: Universal Soldier,ank
R,Columbia,40227006,Crime Comedy,Mo' Money,N/A,1992,No,ank
PG,Buena Vista,40693477,Comedy,Encino Man,N/A,1992,No,ank
PG,Columbia,43440294,Period Drama,A River Runs Through It,N/A,1992,No,
R,Warner Bros.,44065653,Action Thriller,Passenger 57,N/A,1992,No,ank
PG-13,Buena Vista,45500797,Adventure,Medicine Man,$40 million,1992,No,ank
R,Buena Vista,46666502,Comedy,The Distinguished Gentleman,N/A,1992,No,ank
R,Columbia,48017402,Thriller,Single White Female,N/A,1992,No,ank
PG-13,Warner Bros.,48169910,Period Drama,Malcolm X,N/A,1992,No,ank
PG,Buena Vista,50752337,Family Comedy,The Mighty Ducks,$10 million,1992,Series: The Mighty Ducks,ank
PG-13,Universal,51432691,Crime Thriller,Sneakers,N/A,1992,No,105232691
R,Fox,52929168,Comedy,My Cousin Vinny,N/A,1992,No,64088552
R,Fox,55473545,Sci-Fi Horror,Alien 3,$50 million,1992,Series: Alien,159814498
PG,Warner Bros.,55956187,Romance,Forever Young,N/A,1992,No,127956187
PG,Universal,57114049,Family Comedy,Beethoven,N/A,1992,No,147214049
R,Fox,57138719,Thriller,Unlawful Entry,N/A,1992,No,ank
PG-13,Universal,58422650,Horror Comedy,Death Becomes Her,$55 million,1992,No,149022650
PG,Universal,58500635,Romantic Comedy,Housesitter,N/A,1992,No,94900635
PG,Buena Vista,58662452,Family Comedy,"Honey, I Blew Up the Kid",N/A,1992,No,ank
PG-13,Universal,58883840,Period Drama,Far and Away,$60 million,1992,No,137783840
R,Miramax,62548947,Drama / Thriller,The Crying Game,N/A,1992,No,
R,Universal,63095253,Drama,Scent of a Woman,N/A,1992,No,134095253
R,Paramount,70052444,Romantic Comedy,Boomerang,$42 million,1992,No,131052444
R,Fox,75505856,War Romance,The Last of the Mohicans,$40 million,1992,No,ank
R,Fox,76253806,Sports Comedy,White Men Can't Jump,N/A,1992,No,90753806
R,Columbia,82522790,Period Horror,Bram Stoker's Dracula,$40 million,1992,No,215862692
R,Paramount,83351587,Action Thriller,Patriot Games,$45 million,1992,Series: Jack Ryan,178051587
R,Warner Bros.,83563139,Action,Under Siege,N/A,1992,No,156563139
R,Buena Vista,88036683,Thriller,The Hand That Rocks the Cradle,N/A,1992,No,ank
R,Warner Bros.,101157447,Western,Unforgiven,N/A,1992,No,159157447
PG,Sony / Columbia,107533928,Sports Drama,A League of Their Own,$40 million,1992,No,132440069
R,TriStar,117727224,Thriller,Basic Instinct,$49 million,1992,No,352927224
PG-13,Paramount,121697323,Comedy,Wayne's World,$20 million,1992,No,183097323
R,Warner Bros.,122006740,Romance,The Bodyguard,N/A,1992,No,411006740
PG,Buena Vista,139605150,Comedy,Sister Act,N/A,1992,No,231605150
R,Columbia,141340178,Drama / Thriller,A Few Good Men,$40 million,1992,No,243240178
R,Warner Bros.,144731527,Action Comedy,Lethal Weapon 3,$35 million,1992,Series: Lethal Weapon,321731527
PG-13,Warner Bros.,162902340,Action / Adventure,Batman Returns,$80 million,1992,Series: Batman,266892996
PG,Fox,173585516,Family Comedy,Home Alone 2: Lost in New York,N/A,1992,Series: Home Alone,358994850
G,Buena Vista,217350219,Animation,Aladdin,$28 million,1992,No,504050219
R,Paramount,9188150,Horror,Body Parts,N/A,1991,No,ank
PG-13,Warner Bros.,9480198,Drama / Thriller,Guilty by Suspicion,N/A,1991,No,ank
R,Buena Vista,9563393,Comedy,Scenes From a Mall,$3 million,1991,No,ank
PG-13,Paramount,9689816,Romantic Comedy,The Butcher's Wife,N/A,1991,No,ank
PG-13,Paramount,9804775,Romantic Comedy,"He Said, She Said",N/A,1991,No,ank
R,Miramax,10438504,Crime Comedy,A Rage in Harlem,N/A,1991,No,ank
R,Fox,11000863,Comedy,The Super,$22 million,1991,No,ank
R,Buena Vista,11128309,Action Comedy,V.I. Warshawski,N/A,1991,No,ank
R,Buena Vista,11276846,Action Drama,One Good Cop,N/A,1991,No,ank
PG-13,Universal,11336986,Romantic Comedy,Career Opportunities,N/A,1991,No,ank
R,MGM,11511031,Thriller,Shattered,N/A,1991,No,ank
R,Buena Vista,12454768,Romantic Comedy,The Marrying Man,$26 million,1991,No,ank
PG-13,New Line,13878334,Fantasy Comedy,Drop Dead Fred,N/A,1991,No,ank
R,Paramount,14061361,Action,The Perfect Weapon,N/A,1991,No,ank
PG,Buena Vista,14143280,Comedy,Ernest Scared Stupid,N/A,1991,Series: Ernest,ank
PG-13,Paramount,14587732,War,Flight of the Intruder,$35 million,1991,No,ank
PG-13,MGM,14789113,Drama / Thriller,Not Without My Daughter,N/A,1991,No,ank
G,Paramount,14812144,Family,All I Want for Christmas,N/A,1991,No,ank
R,Universal,14851083,Comedy / Drama,Once Around,N/A,1991,No,
R,Fox,14919570,Music Drama,The Commitments,N/A,1991,No,ank
R,Miramax,15012935,Documentary,Madonna: Truth or Dare,$4.5 million,1991,No,29012935
R,Universal,14960255,Horror,Child's Play 3,N/A,1991,Series: Child's Play,20560255
R,TriStar,15073942,Action Thriller,Toy Soldiers,N/A,1991,No,ank
PG,Buena Vista,15104156,Family Adventure,Shipwrecked,N/A,1991,No,ank
R,Universal,15429177,Thriller,A Kiss Before Dying,N/A,1991,No,ank
R,Warner Bros.,15545943,Fantasy Comedy,Switch,N/A,1991,No,ank
R,Interstar,15556340,Action Fantasy,Highlander 2: The Quickening,N/A,1991,Series: Highlander,ank
R,Buena Vista,15565363,Crime Drama,Billy Bathgate,$48 million,1991,No,ank
PG,Warner Bros.,16371128,Comedy,Defending Your Life,N/A,1991,No,
R,TriStar,17218080,Action Comedy,Hudson Hawk,$65 million,1991,No,ank
PG,Warner Bros.,17373527,Family Adventure,The Neverending Story II,N/A,1991,Series: The Neverending Story,ank
R,Fox,17860280,Music Drama,For the Boys,$40 million,1991,No,23202444
PG-13,Buena Vista,18634643,Drama,Paradise (1991),N/A,1991,No,
R,Columbia,18784957,Drama / Thriller,Mortal Thoughts,N/A,1991,No,ank
R,New Line,19438638,Comedy,House Party 2,$5 million,1991,Series: House Party,ank
R,Universal,20246790,Action / Crime,Mobsters,N/A,1991,No,ank
PG-13,Orion Pictures,21082165,Action Thriller,F/X 2,N/A,1991,No,ank
R,Warner Bros.,21756163,Action Thriller,Ricochet,N/A,1991,No,ank
PG-13,Fox,21830957,Romantic Comedy,Only the Lonely,N/A,1991,No,25092802
G,Universal,22166041,Animation,An American Tail: Fievel Goes West,N/A,1991,No,40766041
PG,Universal,22641969,Comedy,Pure Luck,N/A,1991,No,24941969
R,Paramount,22773535,Romantic Comedy,Frankie and Johnny (1991),N/A,1991,No,ank
PG,Buena Vista,23562716,Crime Comedy,Oscar,N/A,1991,No,ank
R,Universal,24078196,Action,Lionheart,$6 million,1991,No,24271196
R,Universal,24204154,Horror,The People Under the Stairs,$6 million,1991,No,31347154
R,Fox,24277858,Drama / Thriller,Class Action,N/A,1991,No,28277918
PG,Orion Pictures,25010896,Drama,Little Man Tate,N/A,1991,No,
