MPAArating,distributor,domestic,genre,name,production_budget,release_year,series,worldwide
PG-13,Buena Vista,309420425,Period Adventure,Pirates of the Caribbean: At World's End,$300 million,2007,Series: Pirates of the Caribbean,963420425
PG-13,Paramount (DreamWorks),80209692,Drama / Thriller,Disturbia,$20 million,2007,N/A,117760134
R,Universal,66661095,War Drama,Charlie Wilson's War,$75 million,2007,N/A,119000410
R,Paramount (DreamWorks),36787257,Romantic Comedy,The Heartbreak Kid,N/A,2007,N/A,127766650
R,Fox,41797066,Sci-Fi Horror,Aliens Vs. Predator - Requiem,N/A,2007,Series: Alien,128884494
R,Focus Features,50927067,Period Drama,Atonement,N/A,2007,N/A,129266061
Unrated,National Geographic Entertainment,23746066,IMAX,Sea Monsters: A Prehistoric Adventure (IMAX),N/A,2007,N/A,50652463
R,Sony / Columbia,28563179,Crime Drama,We Own the Night,$21 million,2007,N/A,54926886
PG-13,Sony / Screen Gems,35374833,Horror,The Messengers,$16 million,2007,N/A,55010659
PG-13,Lionsgate,55204525,Comedy,Tyler Perry's Why Did I Get Married?,N/A,2007,N/A,55862886
R,Focus Features,17266000,Drama / Thriller,Eastern Promises,N/A,2007,N/A,56106607
R,Paramount Vantage,18354356,Adventure,Into the Wild,N/A,2007,N/A,56255142
R,Universal,35787686,Action Comedy,Smokin' Aces,$17 million,2007,N/A,57103895
R,MGM (Weinstein),25594957,Horror,The Mist,$18 million,2007,N/A,57293715
PG-13,Buena Vista,38577772,Sci-Fi Action,Surrogates,$80 million,2009,N/A,122444772
R,Overture Films,73357727,Thriller,Law Abiding Citizen,$50 million,2009,N/A,126690726
PG,Fox,58715510,Comedy,Bride Wars,$30 million,2009,N/A,114663461
PG,Focus Features,75286229,Animation,Coraline,$60 million,2009,N/A,124596398
PG-13,Sony / Columbia,94125426,Comedy / Drama,Julie & Julia,$40 million,2009,N/A,129540499
PG-13,Warner Bros. (New Line),64167069,Fantasy Comedy,17 Again,N/A,2009,N/A,136267476
PG,Paramount (DreamWorks),73034460,Family,Hotel for Dogs,N/A,2009,N/A,117000198
PG-13,Warner Bros.,37491364,Drama,Invictus,$60 million,2009,N/A,122233971
R,Fox,51024708,Sci-Fi Action,The Predator (2018),$88 million,2018,Series: Predator,160542134
PG-13,Universal,67745330,Horror,Insidious: The Last Key,$10 million,2018,Series: Insidious,167885588
R,Warner Bros.,103804407,Crime Drama,The Mule,$50 million,2018,N/A,172604407
PG,Buena Vista,99215042,Fantasy,Disney's Christopher Robin,$75 million,2018,Series: Winnie the Pooh,197744377
PG,Warner Bros.,83240103,Animation,Smallfoot,N/A,2018,N/A,214140103
PG,Buena Vista,54858851,Adventure,The Nutcracker and the Four Realms,$120 million,2018,N/A,173961069
PG-13,MGM,115715889,Sports Drama,Creed II,$50 million,2018,Series: Creed,214115889
R,Sony / Columbia,102084362,Thriller,The Equalizer 2,$62 million,2018,Series: Equalizer,190400157
Unrated,Viva Pictures Distribution,295784,Action / Adventure,Junglee,N/A,2019,N/A,295784
Unrated,CMC,326711,Action / Crime,P Storm,N/A,2019,N/A,326711
Unrated,Screen Media,391963,Adventure Comedy,The Man Who Killed Don Quixote,N/A,2019,N/A,391963
Unrated,Cohen Media Group,415955,Drama,Ash is Purest White,N/A,2019,N/A,415955
Unrated,Yash Raj,425934,Romantic Comedy,De De Pyaar De,N/A,2019,N/A,425934
Unknown,Fathom,420595,Animation,Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,N/A,2019,N/A,420595
Unrated,Well Go USA,512225,Action Drama,Shadow,N/A,2019,N/A,512225
Unrated,Greenwich,407373,Drama,The Invisibles,N/A,2019,N/A,407373
Unrated,FUNimation Films,522805,Animation,Code Geass: Lelouch of the Resurrection,N/A,2019,N/A,522805
R,Sony / Screen Gems,14837422,Horror,The Possession of Hannah Grace,$7.7 million,2018,N/A,43016528
R,Lionsgate,43549096,Thriller,Tyler Perry's Acrimony,N/A,2018,N/A,46403669
R,Focus Features,16468499,Drama,Mary Queen of Scots,N/A,2018,N/A,46638078
PG,Viva Pictures Distribution,289308,Animation,The Son of Bigfoot,N/A,2018,N/A,47046281
R,Sony Classics,512245,Unknown,Safe,N/A,1995,N/A,512245
R,Sony Classics,1738611,Foreign,City of Lost Children,$18 million,1995,N/A,1738611
R,Trimark,961147,Thriller,Separate Lives,N/A,1995,N/A,961147
PG-13,Lionsgate/Summit,42469946,Comedy,Uncle Drew,N/A,2018,N/A,46664414
R,Miramax,2080805,Foreign,Strawberry and Chocolate,N/A,1995,N/A,2084187
R,Sony / Columbia,2844379,Period Drama,Othello,N/A,1995,N/A,2844379
PG,Warner Bros.,3730409,Family Adventure,Born to Be Wild,N/A,1995,N/A,3730409
R,Miramax,4037017,Foreign,Belle De Jour (Re-issue),N/A,1995,N/A,4037017
R,New Line,4686937,Comedy,National Lampoon's Senior Trip,N/A,1995,N/A,4686937
R,Sony / Columbia,5535405,Romance,Before Sunrise,$2.5 million,1995,Series: Before,5535405
PG,Buena Vista,8247627,Family Adventure,Tall Tale,$32 million,1995,N/A,11047627
R,Buena Vista,5772529,Thriller,The Tie That Binds,N/A,1995,N/A,5830454
R,Miramax,15119639,Comedy,Muriel's Wedding,$9 million,1995,N/A,15482277
G,Sony Classics,16015639,IMAX,Across the Sea of Time (IMAX),N/A,1995,N/A,16015639
PG-13,Universal,25588734,Comedy,Billy Madison,$10 million,1995,N/A,26488734
R,New Line,27467564,Comedy,Friday,$3.5 million,1995,Series: Friday,28215918
PG-13,Universal,29412050,Comedy,Major Payne,N/A,1995,N/A,30112050
R,Warner Bros.,30303072,Action,Assassins,$50 million,1995,N/A,30303072
PG-13,Universal,23600020,Romance,How to Make an American Quilt,N/A,1995,N/A,41200020
PG-13,New Line,27112329,Comedy / Drama,Now and Then,N/A,1995,N/A,37591674
PG-13,Universal,36474193,Comedy,"To Wong Foo, Thanks for Everything, Julie Newmar",N/A,1995,N/A,47774193
R,Universal,20350171,Action,Sudden Death,N/A,1995,N/A,64350171
PG-13,New Line,22150451,Romantic Comedy,Don Juan de Marco,$25 million,1995,N/A,68792531
PG,Fox,38187431,Family Adventure,Mighty Morphin' Power Rangers,N/A,1995,Series: Power Rangers,66433194
R,Fox,67052156,Comedy / Drama,Waiting to Exhale,N/A,1995,N/A,81452156
PG-13,Fox,38896854,Romantic Comedy,French Kiss,N/A,1995,N/A,101982854
R,Warner Bros.,50024083,Action,Under Siege 2: Dark Territory,N/A,1995,N/A,104324083
PG,Buena Vista,82569971,Music Drama,Mr. Holland's Opus,N/A,1995,N/A,106269971
PG-13,Sony / Columbia,60079496,Romantic Comedy,The American President,N/A,1995,N/A,107879496
PG-13,Sony / Columbia,50727965,Thriller,The Net,N/A,1995,N/A,110627965
R,MGM,60074103,Sci-Fi Horror,Species,N/A,1995,N/A,113374103
R,MGM,72101622,Crime Comedy,Get Shorty,N/A,1995,N/A,115101622
R,Buena Vista,34693481,Action / Adventure,Judge Dredd,$90 million,1995,N/A,113493481
R,Universal,42512375,Crime Drama,Casino,N/A,1995,N/A,116112375
PG-13,New Line,70454098,Action,Mortal Kombat,N/A,1995,N/A,122195920
PG-13,Sony / Columbia,37600435,Period Adventure,First Knight,N/A,1995,N/A,127600435
PG-13,Fox,69684532,Romantic Comedy,Nine Months,N/A,1995,N/A,138510230
R,Buena Vista,91387195,Action Thriller,Crimson Tide,N/A,1995,N/A,157387195
R,Universal,57141459,Sci-Fi,12 Monkeys,N/A,1995,N/A,168839459
R,Sony / Columbia,65807024,Action Comedy,Bad Boys,$19 million,1995,Series: Bad Boys,141407024
PG,Sony / Columbia,43182776,Period Comedy,Sense and Sensibility,N/A,1995,N/A,134582776
PG-13,Paramount,81022101,Sci-Fi Adventure,Congo,N/A,1995,N/A,152022101
R,Buena Vista,84919401,Drama,Dangerous Minds,N/A,1995,N/A,179519401
PG-13,Warner Bros.,71516617,Romance,The Bridges of Madison County,$24 million,1995,N/A,182016617
PG,Paramount,9979683,Family Adventure,Lassie,N/A,1994,N/A,9979683
R,New Line,18090181,Horror,Wes Craven's New Nightmare,N/A,1994,Series: Nightmare on Elm Street,19721741
PG,Buena Vista,81057016,Romantic Comedy,While You Were Sleeping,$17 million,1995,N/A,182057016
Unrated,Northern Arts,89388,Comedy / Drama,Raining Stones,N/A,1994,N/A,89388
PG-13,Fine Line,7830611,Documentary,Hoop Dreams,N/A,1994,N/A,11830611
PG,Columbia,8914777,Sports Action,The Next Karate Kid,N/A,1994,Series: The Karate Kid,15826984
R,Universal,16094974,Action / Crime,The Getaway (1994),N/A,1994,N/A,30057974
PG-13,Universal,20982557,Romantic Comedy,Reality Bites,N/A,1994,N/A,33351557
PG-13,Universal,32063435,Period Action,The Shadow,N/A,1994,N/A,48063435
R,Universal,38824341,Comedy / Drama,The Paper,N/A,1994,N/A,48424341
PG-13,Universal,46816343,Action Thriller,The River Wild,N/A,1994,N/A,94216343
PG,Universal,52125282,Family Comedy,The Little Rascals,N/A,1994,N/A,67308282
PG,Fox,17320136,Drama,Miracle on 34th Street (1994),N/A,1994,N/A,46264384
PG-13,Universal,33423521,Action,Street Fighter,$35 million,1994,N/A,99423521
R,Universal,44853581,Sci-Fi Action,Timecop,N/A,1994,N/A,101646581
PG-13,Fox,33683817,Drama,Nell,N/A,1994,N/A,106683817
R,IFC,695818,Comedy / Drama,Non-Fiction,N/A,2019,N/A,695818
Unrated,China Lion,722669,Romance,More than Blue,N/A,2019,N/A,722669
Unrated,Magnolia,847495,Action Drama,Woman at War,N/A,2019,N/A,847495
PG-13,Bleecker Street,441366,Drama,Teen Spirit,N/A,2019,N/A,533220
Unrated,FIP,778566,Comedy,Student of the Year 2,N/A,2019,N/A,778566
R,Pantelion,1014507,Comedy,Perfect Strangers,N/A,2019,N/A,1014507
Unrated,Viva Pictures Distribution,1042905,Comedy,Luka Chuppi,N/A,2019,N/A,1042905
R,A24,1225852,Sci-Fi Thriller,High Life,N/A,2019,N/A,1225852
Unrated,Entertainment One,1271953,Animation,Asterix: The Secret of the Magic Potion,N/A,2019,N/A,1271953
Unrated,Rialto,36012,Crime Drama,Yardie,N/A,2019,N/A,1551163
Unrated,Fathom,3509917,Documentary,BTS World Tour: Love Yourself in Seoul,N/A,2019,N/A,3509917
Unrated,FIP,1182636,Comedy / Drama,Ek Ladki Ko Dekha Toh Aisa Laga,N/A,2019,N/A,3307565
R,Sony Classics,1811052,Drama,The White Crow,N/A,2019,N/A,1811052
PG-13,Entertainment Studios,4046429,Sci-Fi Thriller,Replicas,N/A,2019,N/A,4046429
R,IFC,1579730,Drama,Red Joan,N/A,2019,N/A,1579730
R,Neon,754057,Comedy / Drama,Wild Rose,N/A,2019,N/A,4755589
Unrated,PackYourBag,4186168,Action Drama,Uri: The Surgical Strike,N/A,2019,N/A,4186168
Unrated,Viva Pictures Distribution,5566534,Drama,Gully Boy,N/A,2019,N/A,5566534
PG-13,Warner Bros.,4950029,Drama,The Sun Is Also a Star,N/A,2019,N/A,6250029
PG-13,Fox Searchlight,4535154,Drama,Tolkien,N/A,2019,N/A,7776413
Not Yet Rated,Focus Features,5958315,Sci-Fi,Captive State,N/A,2019,N/A,8756089
R,Aviron,8547045,Thriller,Serenity (2019),N/A,2019,N/A,8547045
R,Fox Searchlight,1618497,War Drama,The Aftermath,N/A,2019,N/A,9215591
R,Pantelion,9270920,Comedy,No Manches Frida 2,N/A,2019,Series: No Manches Frida,9270920
R,Bleecker Street,9651611,Drama,Hotel Mumbai,N/A,2019,N/A,9651611
R,A24,5611123,Drama,Gloria Bell,N/A,2019,N/A,10523377
R,Saban Films,7518,Crime Drama,King of Thieves,N/A,2019,N/A,11157960
R,IFC,124741,Drama,Mary Magdalene,N/A,2019,N/A,11710110
R,Fox,9073234,Action Comedy,Stuber,N/A,2019,N/A,11903592
R,Focus Features,6517485,Comedy,The Dead Don't Die,N/A,2019,N/A,12117485
PG-13,Sony / Columbia,15006824,Action Thriller,Miss Bala,$15 million,2019,N/A,15383580
R,Orion Pictures,14856291,Horror,The Prodigy,$6 million,2019,N/A,14856291
R,Lionsgate/Summit,7504303,Action,Anna (2019),N/A,2019,N/A,15751162
R,Focus Features,10519425,Drama / Thriller,Greta,N/A,2019,N/A,15513698
Unrated,FIP,2729336,Drama,Kalank,N/A,2019,N/A,16130339
PG,United Artists Releasing,16649539,Animation,Missing Link,N/A,2019,N/A,16649539
R,Focus Features,2660165,Drama,Everybody Knows,N/A,2019,N/A,17997350
R,Paramount,13360615,Horror,Crawl,$13.5 million,2019,N/A,18160615
R,Amazon Studios,14801011,Comedy / Drama,Late Night,N/A,2019,N/A,16736699
R,Lionsgate/Summit,21903748,Action,Hellboy (2019),$50 million,2019,Series: Hellboy,21903748
Unrated,FIP,2167632,Action Comedy,Total Dhamaal ,N/A,2019,N/A,25031267
PG,STX Entertainment,20150241,Animation,Uglydolls,$45 million,2019,N/A,27530241
R,A24,27854932,Drama,Moonlight (2016),$4 million,2016,N/A,65046687
PG-13,STX Entertainment,35819556,Horror,The Boy (2016),$10 million,2016,Series: The Boy,64188367
R,Paramount,52853219,Drama,13 Hours: The Secret Soldiers of Benghazi,$50 million,2016,N/A,69411370
PG-13,Paramount,57682904,Drama,Fences,$24 million,2016,N/A,64414761
PG,TriStar,61705123,Drama,Miracles from Heaven,$13 million,2016,N/A,73883359
Unrated,Well Go USA,436798,Comedy / Drama,I Am Not Madame Bovary,N/A,2016,N/A,70826207
PG,Focus Features,48023088,Animation,Kubo and the Two Strings,$60 million,2016,N/A,69929545
PG-13,Lionsgate,73206343,Horror Comedy,Boo! A Madea Halloween,$20 million,2016,Series: Madea,74827344
R,Universal,63285885,Comedy,The Boss,$29 million,2016,N/A,78844582
PG-13,Lionsgate,38583626,Thriller,Nerve,$19 million,2016,N/A,85241496
Unrated,FUNimation Films,1918403,Action / Adventure,Shin Godzilla,N/A,2016,Series: Godzilla,77947607
PG-13,Universal,35144505,Horror,Ouija: Origin of Evil,$9 million,2016,Series: Ouija,81705746
R,Fox,46009673,Comedy,Mike and Dave Need Wedding Dates,$33 million,2016,N/A,77068246
Unrated,Yash Raj,6200000,Drama,Sultan,$13.43 million,2016,N/A,87280000
R,Roadside Attractions,47695371,Drama,Manchester by the Sea,$9 million,2016,N/A,78988148
R,Warner Bros.,43034523,Comedy / Drama,War Dogs,N/A,2016,N/A,86234523
PG-13,Universal,59689605,Comedy,My Big Fat Greek Wedding 2,N/A,2016,Series: My Big Fat Greek Wedding,88923251
Unrated,Well Go USA,2129768,Action Thriller,Train to Busan,N/A,2016,N/A,87547518
PG-13,Warner Bros. (New Line),31016021,Drama,Collateral Beauty,$36 million,2016,N/A,88528280
R,TriStar,41012075,Drama / Thriller,Money Monster,$27 million,2016,N/A,93282604
R,Lionsgate,35593113,Comedy,Dirty Grandpa,$25 million,2016,N/A,94073028
