aud_score,context,critic_score,fresh_rot,genre,media,movie_url,name,reviewer
79%,Delightful but dark Potter prequel is more grown-up.,74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,Rowling demonstrates that her eye for character is as sharp as her imagination.,74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"Rowling gives us new characters and creatures to fall in love with, and Newt and company will keep you coming back for more.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"It's spectacular and promising, though at first exposure its characters (human and otherwise) are often as grating as charming.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"Lacks the coming-of-age resonance of the HP series, but this first chapter is good fun.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"Briskly-paced, the whimsical and thrilling 'Fantastic Beasts and Where to Find Them' is bewitching.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,A weak kickoff...,74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"Despite some amazing special effects, Fantastic Beasts remains inert and uninvolving.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"Even with the Potter pedigree, creator Rowling, director Yates and talented Redmayne ... Fantastic Beasts isn't all that fantastic after all. Harry would be disappointed.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
79%,"Rowling, Yates and company will have to cast a different spell to bring the series up to Potter standards.",74%,fresh,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Common Sense Media,https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,Sandie Angulo Chen
76%,"More and better Equalizers will be welcome, just to watch Denzel finding new ways of getting even.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"It scrapes together two gripping, closely observed acts before lobotomizing itself for an over-the-top final third that tips the needle from ""Pleasure"" to ""Pleasure, Guilty, Shame on You!""",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"The lunacy to which ""The Equalizer"" descends is especially disappointing because the movie starts out with some promise.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,Solid revenge porn: the kind that lets you be a grown-up in the most childish way possible. That's not a criticism.,60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"[He] equalizes so much that there's not enough screen to show you all of his equalizing. In his spare moments, he helps the employee softball team stomp their opponents, equalizing them with impeccable sportsmanship at the bottom of the eighth.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"The star makes the film something like a guilty pleasure, but he and touches like the film-opening Mark Twain quotation form little more than a gilded cover wrapped around pure pulp.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"Entertaining, and occasionally rousing within (its) limitations, but we're nagged by the idea that it could have been more substantial.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"The movie is overly long, and certainly overly-violent in contrast to its sometimes preachy do-right earnestness, but it's worth a look.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"The camera loves Denzel Washington. He is always a pleasure to watch. Unfortunately, this movie is not.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
76%,"Marton Csokas' sadistic mobster, with his cold eyes and menacing sneer, is terrifically despicable.",60%,fresh,Mystery & Suspense,Globe and Mail,https://www.rottentomatoes.com/m/the_equalizer_2013,The Equalizer,Liam Lacey
84%,,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,A gross-out classic.,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,"we can see a lot of these laughs coming, and they don't hold much staying power",67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,The 'limo'driver' line made the rest of the movie worth the trouble.,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,a bit too dumb,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,The funniest movie in the world.,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
84%,,67%,fresh,"Action & Adventure,Comedy,Special Interest",Reel.com,https://www.rottentomatoes.com/m/dumb_and_dumber,Dumb and Dumber,"
                                    "
87%,"Director Niels Arden Oplev finds visually compelling ways to convey something as cerebral as puzzle solving, building an intriguing mystery with surprising twists and turns.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"It's efficient, and it builds up the tension as we cut between the dangerous life of Lisbeth Salander and Blomkvist's investigation on a wintry northern island into what happened in the mad, bad, sad Vanger family 40 years ago.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"Stieg Larsson's best-selling crime novel has all the makings of a cinematic thriller. As directed by Niels Arden Oplev in Swedish with English subtitles, Tattoo is mesmerizing.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"This is a capable, engaging thriller, which ties up one mystery even as it asks another about the past of Lisbeth Salander. The screen has a new avenging angel.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"Newcomer Rapace is captivating as the heavily pierced and tattooed femme and resourceful anti-authority avenger. At the same time, she is also able to successfully convey her complex character's more vulnerable, emotionally wounded and softer side.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"The characterisations are only half-deep, and some of the coincidences almost ridiculous, but the twists and turns are the main game.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"An intriguing, intelligent and suspenseful thriller boasting a radiant, captivating performance by the scene-stealing Noomi Rapace.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,"Noomi Rapace throws herself into the title role, but something about the conception of her character, and about the far-reaching urgency of the sociopathic shocks behind the killing, smacks of a filmmaker pushing too hard.",86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,Barrels beyond a pastiche of classic mysteries by paring down a very exposition-heavy novel into a very visual thriller that doles out the revelations for maximum suspense.,86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
87%,[A] strong contender for thriller of the year.,86%,fresh,"Art House & International,Drama,Mystery & Suspense",Moving Pictures Magazine,https://www.rottentomatoes.com/m/the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,Annlee Ellingson
80%,"Most children's entertainment feels as sugar-addled as their target audience. But Dolphin Tale avoids being either anxious or obnoxious, keeping young moviegoers amused and enthralled the old-school way: with its story and star.",81%,fresh,"Drama,Kids & Family",Jam! Movies,https://www.rottentomatoes.com/m/dolphin_tale,Dolphin Tale,Kevin Williamson
80%,It's easy to be cynical ... but then that darn tailless dolphin starts joyfully splashing around and all the corny trappings of the movie simply fade into the background.,81%,fresh,"Drama,Kids & Family",Jam! Movies,https://www.rottentomatoes.com/m/dolphin_tale,Dolphin Tale,Kevin Williamson
80%,"Karen Janszen and Noam Dromi have built a screenplay around a true story that draws on familiar Hollywood-movie tropes, but plays well just the same...",81%,fresh,"Drama,Kids & Family",Jam! Movies,https://www.rottentomatoes.com/m/dolphin_tale,Dolphin Tale,Kevin Williamson
80%,"Dolphin Tale has its heart in the right place and tells its story well enough for its core audience. Moralistic and sweet, there's plenty here for kids and parents to enjoy.",81%,fresh,"Drama,Kids & Family",Jam! Movies,https://www.rottentomatoes.com/m/dolphin_tale,Dolphin Tale,Kevin Williamson
80%,"Heartwarming tale is sweet, inspiring for kids and tweens.",81%,fresh,"Drama,Kids & Family",Jam! Movies,https://www.rottentomatoes.com/m/dolphin_tale,Dolphin Tale,Kevin Williamson
