domestic,name,production_budget,release_year,worldwide
"$3,172,382",Resurrecting the Champ,"$13,000,000",2007,"$3,260,555"
"$3,075,255",Chloe,"$13,000,000",2010,"$11,831,131"
"$3,058,380",The Widow of St. Pierre,"$13,000,000",2001,"$3,058,380"
"$2,703,296",Youth,"$13,000,000",2015,"$24,001,573"
"$2,104,439",Faithful,"$13,000,000",1996,"$2,104,439"
"$2,087,720",Un ProphÃ¨te,"$13,000,000",2010,"$19,910,624"
"$2,037,459","I Love You, Phillip Morris","$13,000,000",2010,"$23,014,027"
"$1,784,763",The Vatican Tapes,"$13,000,000",2015,"$14,929,184"
"$1,173,673",Find Me Guilty,"$13,000,000",2006,"$2,898,225"
"$1,152,117",Excessive Force,"$13,000,000",1993,"$1,152,117"
"$1,151,330",Infamous,"$13,000,000",2006,"$2,613,717"
"$1,024,175",Attack the Block,"$13,000,000",2011,"$6,459,183"
"$656,688",Brothers,"$13,000,000",2015,"$17,856,688"
"$622,023",The Claim,"$13,000,000",2000,"$1,375,635"
"$464,495",The Happy Prince,"$13,000,000",2018,"$2,394,619"
"$303,877",In The Land of Blood and Honey,"$13,000,000",2011,"$509,193"
"$217,277",The Killer Inside Me,"$13,000,000",2010,"$3,617,277"
$0,Womb,"$13,000,000",2012,$0
$0,Rogue City,"$13,000,000",2019,$0
"$51,872,378",The Call,"$12,800,000",2013,"$69,821,476"
"$1,022,720",Operation Chromite,"$12,700,000",2016,"$49,196,532"
"$10,724,389",The Drop,"$12,600,000",2014,"$19,054,534"
"$28,436,931",The Crocodile Hunter: Collision Course,"$12,500,000",2002,"$33,436,931"
"$26,593,646",Machete,"$12,500,000",2010,"$46,370,970"
"$21,078,145",Antwone Fisher,"$12,500,000",2002,"$23,367,586"
"$20,959,585",La Guerre du feu,"$12,500,000",1982,"$20,959,585"
"$14,060,950",The Emperor's Club,"$12,500,000",2002,"$16,193,713"
"$12,281,000",True Romance,"$12,500,000",1993,"$12,309,980"
"$11,965,282",Sorority Row,"$12,500,000",2009,"$26,735,797"
"$10,725,228",Glengarry Glen Ross,"$12,500,000",1992,"$10,725,228"
"$9,046,156",The Boy in the Striped Pyjamas,"$12,500,000",2008,"$44,083,403"
"$7,000,000",Cat People,"$12,500,000",1982,"$21,000,000"
"$7,000,000",The Prisoner of Zenda,"$12,500,000",1979,"$7,000,000"
"$6,797,696",Conviction,"$12,500,000",2010,"$11,826,980"
"$5,956,480",Lars and the Real Girl,"$12,500,000",2007,"$11,277,119"
"$4,360,548",Solitary Man,"$12,500,000",2010,"$4,360,548"
"$4,157,491",Dancer in the Dark,"$12,500,000",2000,"$45,557,491"
"$2,039,869",Casino Jack,"$12,500,000",2010,"$2,272,186"
"$1,612,957",Oscar and Lucinda,"$12,500,000",1997,"$1,612,957"
"$1,212,799",The Funeral,"$12,500,000",1996,"$1,412,799"
"$1,110,186",Tae Guik Gi: The Brotherhood of War,"$12,500,000",2004,"$69,826,708"
"$167,780,960",3 Men and a Baby,"$15,000,000",1987,"$167,780,960"
"$1,089,445",The Perfect Game,"$12,500,000",2010,"$3,931,367"
"$677,200",The Paperboy,"$12,500,000",2012,"$4,027,663"
"$292,562",Ernest et Celestine,"$12,500,000",2013,"$9,376,444"
"$138,797,449",The Kingâ€™s Speech,"$15,000,000",2010,"$430,821,168"
"$130,058,047",American Beauty,"$15,000,000",1999,"$356,258,047"
"$128,067,808","Crouching Tiger, Hidden Dragon","$15,000,000",2000,"$213,514,672"
"$10,011",A Little Bit of Heaven,"$12,500,000",2012,"$1,100,287"
